"family1","family13","family25","family37","family49","family61","family73","family85","family97","family109","family121","family133","family145","family157","family169","family181","family193","family205","family217","family229","family241","family253"
"S","S","S","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","S","S","S","S","S","S","S","S"
"S","LAT","S","S","LAT","LAT","LAT","LAT","COH","COH","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","Sc","Sc","Sc","Sc","Sc","Sc","LATc","LATc","LATc","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","COH","COH","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR"
"S","S","S","S","LAT","COH","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR","LAT","LAT","COH","COHc","COHc","COHc","MARc2+","MARc2+"
"S","S","LAT","LAT","LAT","COH","MAR","MAR","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","LAT","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH"
"S","S","LAT","LAT","LAT","LAT","LAT","MAR","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COH","COHc","COHc","COHc","COHc","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","LAT","LAT","LAT","LAT","LAT","S","S","LAT","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","S","COH","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COH","LAT","COH","COH","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+"
"LAT","LAT","S","COH","COH","COH","COH","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","COH","LAT","COH","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","COH","S","S","S","S","S","MAR","MAR","MAR","S","S","S","S","S","LAT","LAT","LAT","LAT","LAT","S","S"
"S","S","S","S","S","S","S","S","S","S","S","LAT","LAT","COH","COH","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"COH","COH","COH","LAT","LAT","LATc","LATc","LATc","LATc","LATc","LATc","LATc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","MARc2+"
"COH","COH","COH","COH","COH","COH","COH","COH","COHc","COHc","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","Sc","Sc","Sc","COHc","COHc","COHc"
"S","S","S","S","S","LAT","S","S","S","S","S","S","S","S","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR"
"S","MAR","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","LAT","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","LAT","LAT","LAT","COH","COH","COH","COH"
"S","S","S","MAR","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","LAT","MAR","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","LAT","LAT","LAT","LAT","S","COH","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR"
"LAT","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"MAR","COH","LAT","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","LATc","LATc","COHc","COHc","COHc","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","LAT","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"S","COH","COH","COH","COH","COH","COH","COH","COH","COH","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","MAR","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","COH","COH","LAT","LAT","LAT","COH","COH","COH","COHc","COHc","COHc","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"LAT","LAT","LAT","LAT","S","S","S","S","LAT","COH","LAT","LAT","S","LAT","COH","COH","MAR","MAR","MARc1","MARc1","MARc1","MARc1"
"COH","COH","COH","COH","S","S","S","S","S","S","S","COH","COH","COH","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","S","S","S","S","S","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","MAR","MAR","MAR"
"S","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","MAR","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","COH","S","S","S","S","S","S","S","COH","LAT","S","S","S","S","S"
"S","S","S","LAT","S","S","LAT","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH"
"LAT","COH","COH","COH","COH","COH","COH","COHc","COHc","COHc","COHc","COHc","COHc","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","LAT","LAT","COH","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","Sc","Sc","Sc"
"LAT","LAT","COH","COH","COH","COH","COH","MAR","MAR","MAR","MAR","MAR","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","MAR","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","Sc","Sc","Sc"
"COH","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc"
"LAT","LAT","COHc","COHc","COHc","COHc","COHc","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","S","S","S","S","S","S","S","S","LAT","COH","COH","COH","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc2+"
"COH","COH","COH","COH","COH","COH","COH","COH","COH","S","COH","MAR","MARc1","MARc1","MARc1","LATc","LATc","LATc","Sc","Sc","Sc","Sc"
"S","S","S","S","S","S","S","LAT","COH","COH","COH","COH","COH","COH","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1"
"S","S","S","S","S","COH","COH","COH","COH","COH","COH","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+"
"S","LAT","COH","COH","LAT","LAT","LAT","S","S","LAT","LAT","S","S","S","LAT","S","S","S","S","S","S","LAT"
"LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","MAR","MAR","MAR","MAR","MAR","S","COH","COHc","MARc1"
"LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH"
"S","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","LAT","LAT","MARc1","MARc1"
"S","S","LAT","LAT","COH","COH","COH","MARc1","MARc1","MARc1","MARc1","MARc1","Sc","COHc","COHc","COHc","COHc","COHc","MARc1","MARc1","MARc1","MARc1"
"LAT","S","S","S","LAT","LAT","COH","COH","COH","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","LAT","LAT","LAT","LAT","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","S","S","S","MAR","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","LAT","MAR","MAR","MAR"
"S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"COH","COH","COH","COHc","COHc","COHc","COHc","COHc","COHc","COHc","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","LAT","COH","COH","COH","S","S","S","S","S","S","LAT","S","S","LAT","MARc1","MARc1","MARc1","MARc2+","MARc2+"
"LAT","LAT","LAT","COH","COH","COH","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR"
"S","S","S","LAT","LAT","COH","S","S","S","S","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","MAR","MAR","MAR","MAR"
"S","S","S","S","S","S","S","S","S","S","S","LAT","LAT","LAT","LAT","LAT","LAT","COH","MAR","MARc1","MARc1","MARc2+"
"LAT","LAT","LAT","LAT","S","S","LAT","S","COH","COH","COH","COH","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc"
"COH","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","S","S","S","LAT","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1"
"LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","S","MAR","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1"
"LAT","LAT","LAT","LAT","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","LAT","LAT","COH","COH","COH","COH","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"S","S","S","S","S","S","S","LAT","LAT","LAT","LAT","COH","COH","COH","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+"
"S","LAT","LAT","LAT","LAT","S","S","COH","COH","COH","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","COH","S","S","S","S","S","S","LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","MAR"
"S","S","S","S","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","S","S","S","LAT","LAT","S","S","LAT","LAT","LAT","COH","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","COH","COH","COH","COH","MAR","LAT","LAT","LAT","COH","COH","COH","COH","MAR","MAR","MAR","MAR","MARc1","MARc2+","MARc2+","MARc2+"
"S","LAT","COH","COHc","COHc","COHc","Sc","Sc","LATc","LATc","COHc","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","S","S","S","S","LAT","LAT","LAT","COH","COHc","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","Sc","Sc","Sc","Sc","Sc","Sc"
"S","S","S","S","S","S","S","S","LAT","LAT","LAT","LAT","S","S","S","S","LAT","LAT","LAT","S","S","S"
"LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","S","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH"
"S","LAT","LAT","LAT","LAT","LAT","LAT","COH","MAR","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","LAT","S","S","S","LAT","S","S","S","S","S","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","MAR","S","S"
"S","S","COH","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","COHc","COHc","COHc"
"S","S","LAT","LAT","LAT","S","S","LAT","LAT","COH","COH","COH","COH","COH","COH","S","S","S","LAT","LAT","COH","COH"
"S","S","S","S","S","S","S","S","S","S","S","S","LAT","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR"
"LAT","MAR","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COH","COHc","COHc"
"LAT","LAT","LAT","LAT","S","S","S","S","COH","COH","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR"
"S","S","S","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","LAT","LAT","LAT"
"LAT","LAT","LAT","COH","COH","COH","COH","COH","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+"
"LAT","LAT","COH","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"COH","COH","LAT","LAT","MAR","MAR","S","S","LAT","LAT","LAT","LAT","COH","MAR","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","S","S","MAR","MAR","MAR"
"S","S","S","S","S","MAR","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","Sc","Sc","Sc","Sc"
"LAT","LAT","COH","COH","COH","COH","COH","COH","COH","COHc","COHc","COHc","COHc","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","COH","COH","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","COH","COH","COH","COH","COH","COH","COH","COH","S","S","S","COH","COH","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"LAT","COH","MAR","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","LAT","LAT","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","LAT"
"S","COH","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COH","COH","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc"
"S","S","S","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc"
"S","S","S","S","LAT","LAT","S","S","S","LAT","LAT","S","S","LAT","LAT","S","S","LAT","LAT","LAT","COH","MAR"
"S","S","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COH","COH","COHc","COHc","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","MAR","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","S","S","S","COH","COH","COH","COH","MAR","MAR","MARc1","MARc1","MARc1","MARc1"
"S","S","S","S","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","S","S","S","S","S","LAT","S","S","S","LAT","LAT","LAT","LAT"
"S","S","S","S","S","S","S","LAT","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR"
"S","S","S","LAT","LAT","LAT","LAT","COH","COH","COH","COH","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1","MARc1"
"LAT","LAT","LAT","S","LAT","LAT","S","S","S","S","COH","COH","COH","COH","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR"
"LAT","LAT","COH","S","S","S","LAT","S","S","S","S","S","S","S","S","S","S","S","S","LAT","LAT","LAT"
"LAT","S","LAT","LAT","S","LAT","COH","COH","COH","COH","COH","COH","COH","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","COH","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","LATc","LATc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc","COHc"
"LAT","LAT","LAT","LAT","LAT","S","S","S","LAT","LAT","S","S","LAT","COH","COH","COHc","COHc","COHc","COHc","COHc","COHc","COHc"
"LAT","LAT","LAT","LAT","LAT","COH","COH","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","S","S","S","S","S","S","S","COH","COH","COH","COH","MAR","MARc1","MARc1","MARc2+"
"LAT","LAT","LAT","COH","COH","COH","COH","COH","COH","COH","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR","MAR"
"S","S","S","S","S","S","S","LAT","S","LAT","LAT","LAT","COHc","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","LAT","LAT","LAT","LAT","LAT","LAT","S","COH","COH","COH","COH","MAR","MAR","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1"
"S","S","S","S","S","S","S","S","S","LAT","S","S","S","COH","COH","MAR","MAR","MAR","LAT","COH","COHc","MARc1"
"S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","LAT","S","S","S","S","S","S"
"S","S","COH","COH","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc1","COHc","MARc1","MARc1","MARc1","MARc1","Sc","Sc","Sc","Sc","Sc","LATc"
"LAT","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","LAT","LAT","COH","COH","MAR","MAR","MAR","MAR","MAR","MAR","MAR","LAT","COH"
